screen_id	surface	proposed_route	title	access	requirements	flows	state_profile	api_family	critical_recovery
C01	consumer	/splash	Session restoration	public	FR-01	F0	BOOT	identity	Clear previous-account private content before routing
C02	consumer	/welcome	Welcome	public	FR-01	F0	READ	none	Allow discovery without implying private-action permission
C03	consumer	/auth/phone	Phone entry	public	FR-01	F0	AUTH	identity	Rate-limit response supplies retry time
C04	consumer	/auth/otp	OTP verification	challenge	FR-01	F0	AUTH	identity	Wrong expired and locked challenges have distinct recovery
C05	consumer	/onboarding/profile	Basic profile	self	FR-01	F0	FORM	preferences	Preserve valid name input on transient failure
C06	consumer	/location	Location rationale and selection	public	FR-02	F0,F4	FORM	geo	Permission denial offers manual locality; serviceability is separate
C07	consumer	/permissions/notifications	Notification rationale	self	FR-14	F0	COMMAND	preferences	Not-now and OS denial preserve access to the app
C08	consumer	/home	Home	public+scoped-self	FR-03	F4,F6	LIST	discovery	Individual module failure preserves permitted modules; clear private modules on logout
C09	consumer	/explore	Explore	public	FR-04	F4	LIST	discovery	Cached list is labeled stale and new offline search is unavailable
C10	consumer	/search	Search suggestions and results	public	FR-04	F4	LIST	discovery	Ignore old-query results and preserve filter context after detail return
C11	consumer	/categories/{id}	Category and subcategories	public	FR-05	F4	LIST	catalogue	Retired category has safe fallback; no hard-coded cause layouts
C12	consumer	/missions/{id}	Mission detail	public	FR-06	F1,F2,F3,F4	READ	discovery	Closed money need does not disable eligible items or time needs
C13	consumer	/organizations/{id}	Organization detail	public	FR-06,FR-13	F4	READ	discovery	Suspension removes unsupported trust claims and contribution actions
C14	consumer	/explore/filters	Discovery filters sheet	public	FR-04	F4	FORM	discovery	Reset and no-match recovery preserve accessible focus
C15	consumer	/missions/{id}/story	Mission story	public	FR-06	F4	READ	discovery	Long text reflows; unavailable story does not expose private drafts
C16	consumer	/missions/{id}/updates	Mission updates	public	FR-06	F5	LIST	discovery	Only published updates appear; failed pagination keeps visible permitted rows
C17	consumer	/missions/{id}/proof	Public proof gallery	public	FR-17	F5	MEDIA	discovery	Show only approved public derivatives; withdrawal removes cached display
C18	consumer	/bookmarks	My bookmarks	self	FR-13	F4	LIST	bookmarks	Unavailable missions keep safe context; optimistic toggle can revert
C19	consumer	/share/public	Public share sheet	public	FR-13	F4	READ	bookmarks	Share public mission or org metadata without private contribution data
C20	consumer	/missions/{id}/contribute/money	Money amount and disclosure	self	FR-07	F1	FORM	contributions	Server quote determines eligible amount and fee split; no wallet
C21	consumer	/missions/{id}/contribute/money/review	Money review	self	FR-07	F1	CHECKOUT	contributions	Expired quote requires refreshed disclosure and renewed confirmation
C22	consumer	/contributions/{id}/checkout	Provider checkout handoff	self	FR-07	F1	CHECKOUT	payments	Show only enabled methods; resume existing attempt before retry
C23	consumer	/contributions/{id}/confirming	Payment confirmation recovery	self	FR-07	F1,F10	CHECKOUT	payments	Cancel timeout and callback never alone prove failed payment
C24	consumer	/contributions/{id}/thank-you	Contribution acknowledgement	self	FR-07,FR-08	F1,F2	READ	contributions	Describe accepted contribution; do not imply verified impact
C25	consumer	/contributions/{id}/tracking	Contribution tracking	self	FR-10	F5,F6,F10	TRACKING	contributions	Money has no live map; delivery and verification remain separate
C26	consumer	/contributions/{id}/history	Contribution timeline history	self	FR-10	F5	LIST	contributions	Preserve refund payout and execution as independent facts
C27	consumer	/missions/{id}/contribute/items	Item details and condition	self	FR-08	F2	FORM	contributions	Recheck remaining quantity and current accepted item conditions
