family	method	path	operation_id	policy	projection	profile	contract
identity	POST	/auth/otp/request	request_otp	challenge	operation	auth	FR-01
identity	POST	/auth/otp/verify	verify_otp	challenge	session	auth	FR-01
identity	POST	/auth/refresh	refresh_session	challenge	session	auth	FR-01
identity	POST	/auth/logout	logout_session	self	operation	command	FR-01
identity	GET	/me/sessions	list_sessions	self	self	list	FR-01
identity	POST	/me/sessions/{id}/revoke	revoke_session	self_sensitive	operation	command	AP-02
identity	GET	/me	get_current_user	self	self	read	FR-01
identity	POST	/auth/step-up/request	request_step_up	self	operation	auth	AP-02
identity	POST	/auth/step-up/verify	verify_step_up	self	session	auth	AP-02
identity	POST	/me/deletion-requests	request_account_deletion	self_sensitive	operation	create	AP-05
identity	GET	/me/deletion-requests/current	get_deletion_status	self	operation	read	AP-05
identity	POST	/me/deletion-requests/{id}/cancel	cancel_account_deletion	self_sensitive	operation	command	AP-05
preferences	PATCH	/me	update_profile	self	self	update	FR-12
preferences	PUT	/me/avatar	set_avatar	self	self	update	FR-12
preferences	GET	/me/devices	list_devices	self	self	list	FR-01
preferences	POST	/me/devices	register_device	self	self	create	FR-14
preferences	PATCH	/me/devices/{id}	rotate_device_token	self	self	update	FR-14
preferences	DELETE	/me/devices/{id}	remove_device	self	operation	delete	FR-14
preferences	GET	/me/privacy	get_privacy_preferences	self	self	read	FR-12
preferences	PUT	/me/privacy	set_privacy_preferences	self	self	update	FR-12
preferences	GET	/me/notification-preferences	get_notification_preferences	self	self	read	FR-14
preferences	PUT	/me/notification-preferences	set_notification_preferences	self	self	update	FR-14
preferences	PUT	/me/location	set_selected_location	self	self	update	FR-02
preferences	GET	/consent-documents/current	get_current_consent_documents	public	public	read	G29
preferences	POST	/me/consents	record_consent	self	self	create	G29
geo	GET	/me/addresses	list_addresses	self	self	list	FR-02
geo	POST	/me/addresses	create_address	self	self	create	FR-08
geo	PATCH	/me/addresses/{id}	update_address	self	self	update	FR-08
geo	DELETE	/me/addresses/{id}	delete_address	self	operation	delete	FR-12
geo	PUT	/me/addresses/{id}/default	set_default_address	self	self	update	FR-08
geo	GET	/geo/search	search_localities	public	public	list	FR-02
geo	POST	/geo/reverse	reverse_lookup	self	self	query	FR-02
geo	POST	/geo/serviceability	check_serviceability	self	self	query	FR-08
geo	POST	/shipments/{id}/route	get_assigned_route	field	field	query	S06
catalogue	GET	/categories	list_categories	public	public	list	FR-05
catalogue	GET	/categories/{id}	get_category	public	public	read	FR-05
catalogue	GET	/categories/{id}/subcategories	list_subcategories	public	public	list	FR-05
catalogue	GET	/item-types	list_item_types	public	public	list	FR-08
catalogue	GET	/admin/catalogue	get_catalogue_admin	ops	org	list	G26
catalogue	POST	/admin/catalogue/categories	create_category	ops_lead	org	create	FR-05
catalogue	PATCH	/admin/catalogue/categories/{id}	update_category	ops_lead	org	update	FR-05
catalogue	POST	/admin/catalogue/subcategories	create_subcategory	ops_lead	org	create	FR-05
catalogue	PATCH	/admin/catalogue/subcategories/{id}	update_subcategory	ops_lead	org	update	FR-05
catalogue	POST	/admin/catalogue/item-types	create_item_type	ops_lead	org	create	FR-08
catalogue	PATCH	/admin/catalogue/item-types/{id}	update_item_type	ops_lead	org	update	FR-08
catalogue	GET	/admin/catalogue/synonyms	list_synonyms	ops	org	list	G26
catalogue	POST	/admin/catalogue/synonyms	create_synonym	ops_lead	org	create	G26
catalogue	PUT	/admin/catalogue/synonyms/{id}	set_synonym	ops_lead	org	update	G26
catalogue	DELETE	/admin/catalogue/synonyms/{id}	remove_synonym	ops_lead	operation	delete	G26
discovery	GET	/home	get_home	public	public	read	FR-03
discovery	GET	/me/home	get_personal_home_modules	self	self	read	G27
discovery	GET	/missions	list_missions	public	public	list	FR-04
discovery	GET	/missions/{id}	get_mission	public	public	read	FR-06
discovery	GET	/missions/{id}/updates	list_mission_updates	public	public	list	FR-06
discovery	GET	/missions/{id}/proofs	list_public_proof_derivatives	public	public	list	G24
discovery	GET	/organizations/{id}	get_public_organization	public	public	read	FR-06
discovery	GET	/organizations/{id}/missions	list_organization_missions	public	public	list	FR-06
discovery	GET	/search	search	public	public	list	FR-04
discovery	GET	/search/suggest	suggest_search	public	public	list	FR-04
discovery	GET	/discovery/filters	get_discovery_filters	public	public	read	FR-04
bookmarks	GET	/me/bookmarks	list_bookmarks	self	self	list	FR-13
bookmarks	POST	/missions/{id}/bookmark	save_bookmark	self	self	create	FR-13
bookmarks	DELETE	/missions/{id}/bookmark	remove_bookmark	self	operation	delete	FR-13
bookmarks	GET	/share/missions/{id}	get_mission_share_metadata	public	public	read	FR-13
bookmarks	GET	/share/organizations/{id}	get_org_share_metadata	public	public	read	FR-13
bookmarks	PUBLIC_WEB	/m/{public_id}	mission_web_fallback	public	public	page	FR-13
bookmarks	PUBLIC_WEB	/o/{public_id}	organization_web_fallback	public	public	page	FR-13
bookmarks	PUBLIC_WEB	/.well-known/assetlinks.json	android_app_links	public	public	page	FR-13
bookmarks	PUBLIC_WEB	/.well-known/apple-app-site-association	apple_app_links	public	public	page	FR-13
org_application	POST	/org/apply	apply_organization	applicant	application	create	O01
org_application	GET	/org/application	get_org_application	applicant	application	read	O01
org_application	PATCH	/org/application	edit_org_application	applicant	application	update	O04
org_application	POST	/org/application/resubmit	resubmit_org_application	applicant	application	command	O04
org_application	POST	/org/application/reapply	reapply_organization	applicant	application	command	O07
org_application	POST	/org/application/renew	renew_org_application	applicant	application	command	O10
org_application	GET	/org/documents	list_own_org_documents	applicant	application	list	G24
org_application	POST	/org/documents	attach_org_document	applicant	application	create	O01
org_application	GET	/org/documents/{id}	get_own_org_document	applicant	application	read	G24
org_application	GET	/org/me	get_org_profile	org	org	read	FR-15
org_application	PATCH	/org/me	update_org_profile	org	org	update	FR-15
org_application	GET	/org/settings	get_org_settings	org	org	read	FR-15
org_application	PATCH	/org/settings	update_org_settings	org	org	update	FR-15
org_application	POST	/org/bank-change-requests	request_bank_change	org_sensitive	finance	create	FD-03
org_application	GET	/org/bank-change-requests	list_bank_change_requests	org	finance	list	FD-03
org_missions	GET	/org/dashboard	get_org_dashboard	org	org	read	FR-15
org_missions	GET	/org/missions	list_org_missions	org	org	list	FR-15
org_missions	POST	/org/missions	create_mission_draft	org	org	create	M01
org_missions	GET	/org/missions/{id}	get_mission_editor	org	org	read	FR-15
org_missions	PATCH	/org/missions/{id}	edit_mission_draft	org	org	update	M02
org_missions	DELETE	/org/missions/{id}	remove_unsubmitted_draft	org	operation	delete	PD-08
org_missions	PUT	/org/missions/{id}/needs	edit_draft_needs	org	org	update	M02
org_missions	PUT	/org/missions/{id}/slots	edit_draft_slots	org	org	update	M02
org_missions	POST	/org/missions/{id}/submit	submit_mission	org	org	command	M02
org_missions	GET	/org/missions/{id}/review-history	get_mission_feedback	org	application	list	M05
org_missions	POST	/org/missions/{id}/revise	revise_rejected_mission	org	org	command	M06
org_missions	POST	/org/missions/{id}/change-requests	request_mission_change	org	org	create	PD-13
org_missions	GET	/org/missions/{id}/change-requests	list_mission_changes	org	org	list	PD-13
org_missions	POST	/org/missions/{id}/ready	mark_mission_ready	org	org	command	M08
org_missions	POST	/org/missions/{id}/start	start_mission	org	org	command	M09
org_missions	POST	/org/missions/{id}/deliver	declare_mission_delivered	org	org	command	M10
org_missions	POST	/org/missions/{id}/pause	pause_org_mission	org	org	command	M15
org_missions	POST	/org/missions/{id}/resume	resume_org_mission	org	org	command	M16
org_missions	POST	/org/missions/{id}/cancel	cancel_org_mission	org	org	command	M17
org_missions	GET	/org/missions/{id}/contributions	list_org_contributions	org	org	list	FR-15
org_missions	GET	/org/missions/{id}/assignments	list_org_roster	org	attendance	list	FR-15
org_missions	POST	/org/missions/{id}/updates	create_mission_update	org	org	create	FR-15
org_missions	PATCH	/org/missions/{id}/updates/{update_id}	edit_mission_update	org	org	update	FR-15
org_missions	GET	/org/impact	get_org_impact	org	impact	read	FR-15
contributions	POST	/missions/{id}/contribution-quotes	quote_contribution	self	self	create	CD-01
contributions	POST	/missions/{id}/contributions	create_contribution	self	self	create	C01/C08/C15
contributions	GET	/contributions	list_contributions	self	self	list	FR-11
contributions	GET	/contributions/{id}	get_contribution	self	self	read	FR-11
contributions	PATCH	/contributions/{id}/display	edit_contribution_display	self	self	update	CD-01
contributions	POST	/contributions/{id}/cancel	cancel_contribution	self	self	command	C13/C20/P06
contributions	GET	/contributions/{id}/tracking	get_tracking_snapshot	participant	tracking	read	FR-10
contributions	GET	/contributions/{id}/history	get_contribution_history	self	self	list	FR-11
